ticker,asset_class,month,monthly_return,rolling_12m_average_return,absolute_move_rank
SPY,US equities,2021-01,-0.01019045376956429,0.015856053852369184,3
EFA,Developed international equities,2021-01,-0.007812468616839374,0.010375240112773354,4
EWC,Canadian equities,2021-01,-0.007782149605712774,0.008548971333974234,5
AGG,US aggregate bonds,2021-01,-0.007445609523402341,0.0037587259042584273,6
GLD,Gold,2021-02,-0.06256881372707945,0.008554274219869021,1
EWC,Canadian equities,2021-02,0.05130697045454169,0.018666578841609393,2
SPY,US equities,2021-02,0.027805799814034193,0.02477031805736894,3
EFA,Developed international equities,2021-02,0.022378467554658554,0.018711163190057205,4
AGG,US aggregate bonds,2021-02,-0.015181147797941996,0.001173062435586884,5
EEM,Emerging-market equities,2021-02,0.007878578481122833,0.02731837394024168,6
EWC,Canadian equities,2021-03,0.05843965928788708,0.04087374837620291,1
SPY,US equities,2021-03,0.04539943091256626,0.03895955246740857,2
EFA,Developed international equities,2021-03,0.025131998484918316,0.03256106167722158,3
AGG,US aggregate bonds,2021-03,-0.011463095067117846,0.0006568184851284317,4
GLD,Gold,2021-03,-0.011433106871430843,0.007786851381715254,5
EEM,Emerging-market equities,2021-03,-0.007258621632860063,0.039855148947513235,6
SPY,US equities,2021-04,0.05291015025675261,0.032786800284393985,1
EWC,Canadian equities,2021-04,0.045814991967557006,0.03542395110227309,2
GLD,Gold,2021-04,0.035633888163058236,0.004705458474123551,3
EFA,Developed international equities,2021-04,0.0295241524024783,0.030173561454818292,4
EEM,Emerging-market equities,2021-04,0.011998574363063952,0.03472649980553511,5
AGG,US aggregate bonds,2021-04,0.0073197640418307675,-0.00016577022170321162,6
GLD,Gold,2021-05,0.0767837781773808,0.0089473051639918,1
EWC,Canadian equities,2021-05,0.06346529239527232,0.03776106015255548,2
EFA,Developed international equities,2021-05,0.03482252906834771,0.02855300651203539,3
EEM,Emerging-market equities,2021-05,0.016487563478418954,0.03362141035803035,4
SPY,US equities,2021-05,0.006566135066983447,0.029363519785720982,5
AGG,US aggregate bonds,2021-05,0.0020385707999270863,-0.0005563278201377864,6
GLD,Gold,2021-06,-0.07147662093629836,0.0007095014650044899,1
SPY,US equities,2021-06,0.022427373790590677,0.029754619743495553,2
EFA,Developed international equities,2021-06,-0.010780084744506091,0.02472866501477078,3
EWC,Canadian equities,2021-06,-0.009771801951651171,0.033623180326647455,4
EEM,Emerging-market equities,2021-06,0.009504021176713673,0.028909312680378024,5
AGG,US aggregate bonds,2021-06,0.008278983929537853,-0.0004156490375583355,6
EEM,Emerging-market equities,2021-07,-0.06436992702628785,0.016668432278093625,1
GLD,Gold,2021-07,0.02529736082541323,-0.006174437939794136,2
SPY,US equities,2021-07,0.024412581863442195,0.02688126724119332,3
AGG,US aggregate bonds,2021-07,0.011165950329321994,-0.0005961485086766286,4
EFA,Developed international equities,2021-07,0.007733425803336358,0.02375767356583669,5
EWC,Canadian equities,2021-07,0.001609708926227027,0.029152742837621527,6
SPY,US equities,2021-08,0.029759864791791824,0.023544893824166552,1
EEM,Emerging-market equities,2021-08,0.015697600651014776,0.01557031641569905,2
EFA,Developed international equities,2021-08,0.01446710378116478,0.021028243206434354,3
AGG,US aggregate bonds,2021-08,-0.0020037627102198474,-7.679586736729822e-05,4
GLD,Gold,2021-08,-0.0007655458405440019,-0.005968593929728511,5
EWC,Canadian equities,2021-08,0.0002678585924686949,0.024903120388613986,6
SPY,US equities,2021-09,-0.0466055536148583,0.022781425905337615,1
EEM,Emerging-market equities,2021-09,-0.03873297258024133,0.013184494558860532,2
EFA,Developed international equities,2021-09,-0.03261393480667829,0.020016077752915824,3
GLD,Gold,2021-09,-0.03223525803246796,-0.0051786950251356085,4
EWC,Canadian equities,2021-09,-0.027852144094271947,0.02635548621105215,5
AGG,US aggregate bonds,2021-09,-0.009172196258995347,-0.0007600554148550117,6
EWC,Canadian equities,2021-10,0.0793388606515415,0.03582488703437891,1
SPY,US equities,2021-10,0.07016362393168785,0.030706154655483365,2
EFA,Developed international equities,2021-10,0.031790739787068256,0.025624204467721224,3
GLD,Gold,2021-10,0.014797180521269215,-0.0035127460263879493,4
EEM,Emerging-market equities,2021-10,0.010718548000841377,0.012905884999665487,5
AGG,US aggregate bonds,2021-10,-8.730399104595055e-05,-0.0003020973170540046,6
EWC,Canadian equities,2021-11,-0.045941735371670345,0.020001707625417347,1
