date,ticker,asset_class,adjusted_close,volume
2018-04-20,EFA,Developed international equities,54.907143,27586500
2018-04-20,EWC,Canadian equities,23.511787,1265300
2018-04-20,GLD,Gold,126.629997,10403100
2018-04-20,SPY,US equities,234.995468,99953100
2018-04-23,AGG,US aggregate bonds,83.028641,2620800
2018-04-23,EEM,Emerging-market equities,38.840347,74337500
2018-04-23,EFA,Developed international equities,54.837589,17696000
2018-04-23,EWC,Canadian equities,23.427929,1277500
2018-04-23,GLD,Gold,125.620003,6921500
2018-04-23,SPY,US equities,234.960190,65558000
2018-04-24,AGG,US aggregate bonds,82.918945,3442300
2018-04-24,EEM,Emerging-market equities,38.658073,72196800
2018-04-24,EFA,Developed international equities,54.613483,22013400
2018-04-24,EWC,Canadian equities,23.377621,1678100
2018-04-24,GLD,Gold,126.230003,4733100
2018-04-24,SPY,US equities,231.795853,112885500
2018-04-25,AGG,US aggregate bonds,82.809235,3785000
2018-04-25,EEM,Emerging-market equities,38.359814,69106800
2018-04-25,EFA,Developed international equities,54.520760,18280700
2018-04-25,EWC,Canadian equities,23.394394,1602100
2018-04-25,GLD,Gold,125.410004,5985700
2018-04-25,SPY,US equities,232.368805,103840900
2018-04-26,AGG,US aggregate bonds,82.950279,4870300
2018-04-26,EEM,Emerging-market equities,38.914909,45047800
2018-04-26,EFA,Developed international equities,54.791229,23697700
2018-04-26,EWC,Canadian equities,23.553707,1586700
2018-04-26,GLD,Gold,124.970001,7517100
2018-04-26,SPY,US equities,234.731049,67731900
2018-04-27,AGG,US aggregate bonds,83.052155,3806400
2018-04-27,EEM,Emerging-market equities,39.155170,33545000
2018-04-27,EFA,Developed international equities,54.845322,15395400
2018-04-27,EWC,Canadian equities,23.654331,1815500
2018-04-27,GLD,Gold,125.500000,5654000
2018-04-27,SPY,US equities,234.951340,57053600
2018-04-30,AGG,US aggregate bonds,83.067825,4692600
2018-04-30,EEM,Emerging-market equities,38.873486,49179000
2018-04-30,EFA,Developed international equities,54.667576,21883700
2018-04-30,EWC,Canadian equities,23.587252,2151100
2018-04-30,GLD,Gold,124.589996,9830600
2018-04-30,SPY,US equities,233.144455,82182300
2018-05-01,AGG,US aggregate bonds,82.997139,3027000
2018-05-01,EEM,Emerging-market equities,38.682922,75839300
2018-05-01,EFA,Developed international equities,54.474377,17308000
2018-05-01,EWC,Canadian equities,23.587252,2898200
2018-05-01,GLD,Gold,123.709999,7551600
2018-05-01,SPY,US equities,233.558762,74203400
2018-05-02,AGG,US aggregate bonds,82.997139,2560800
2018-05-02,EEM,Emerging-market equities,38.376381,66837900
2018-05-02,EFA,Developed international equities,54.451187,16409400
2018-05-02,EWC,Canadian equities,23.553707,3095600
2018-05-02,GLD,Gold,123.650002,7614000
2018-05-02,SPY,US equities,231.989807,86368900
2018-05-03,AGG,US aggregate bonds,83.091377,4499200
2018-05-03,EEM,Emerging-market equities,38.293533,83449200
2018-05-03,EFA,Developed international equities,54.621208,19854600
2018-05-03,EWC,Canadian equities,23.570482,5533000
2018-05-03,GLD,Gold,124.279999,4857400
2018-05-03,SPY,US equities,231.478607,136311500
2018-05-04,AGG,US aggregate bonds,83.146378,2317100
2018-05-04,EEM,Emerging-market equities,38.467510,60099100
2018-05-04,EFA,Developed international equities,54.814407,17022600
2018-05-04,EWC,Canadian equities,23.738186,3362800
2018-05-04,GLD,Gold,124.540001,5883600
2018-05-04,SPY,US equities,234.475403,91222100
2018-05-07,AGG,US aggregate bonds,83.107086,1533400
2018-05-07,EEM,Emerging-market equities,38.243820,58886100
2018-05-07,EFA,Developed international equities,54.822144,8172600
2018-05-07,EWC,Canadian equities,23.805258,3645200
2018-05-07,GLD,Gold,124.570000,3397500
